has_rel,spanks
Catholic,yes
Other Christian,yes
Other Christian,str_yes
Other Christian,yes
None,str_yes
Catholic,yes
Other Christian,yes
Other Christian,str_yes
Catholic,no
Catholic,yes
Other Christian,no
Catholic,no
Other Christian,yes
None,str_no
Other Christian,yes
Other Christian,yes
Catholic,no
Catholic,str_yes
Other Christian,str_yes
Catholic,yes
None,yes
Catholic,no
Other Christian,yes
None,no
Other Christian,no
None,no
Other,yes
Other,str_no
Other,yes
Other Christian,no
Catholic,yes
None,no
None,str_yes
Other,str_no
Other Christian,no
Other Christian,str_yes
Other Christian,str_no
Other Christian,yes
Other Christian,yes
Catholic,yes
Other Christian,yes
None,str_no
None,no
Other Christian,no
Other,yes
None,no
Catholic,str_yes
Catholic,no
Other Christian,str_yes
Other,yes
None,yes
None,yes
None,no
None,str_yes
Other Christian,str_yes
Other Christian,str_yes
None,yes
None,no
Catholic,str_yes
Catholic,yes
Other,no
None,str_yes
Catholic,str_no
Other,yes
Other Christian,yes
None,yes
Catholic,str_yes
Other Christian,str_yes
Other Christian,yes
Catholic,yes
Catholic,no
Other Christian,yes
Other Christian,str_yes
Catholic,yes
None,yes
Catholic,str_no
Other Christian,yes
None,no
Other Christian,yes
Catholic,yes
Catholic,no
Other Christian,no
Catholic,yes
Catholic,no
Other Christian,yes
None,yes
Other Christian,yes
None,str_no
None,yes
Other Christian,yes
Other Christian,yes
Catholic,no
Catholic,no
None,str_yes
Catholic,yes
None,yes
Catholic,no
Catholic,yes
Other Christian,no
Catholic,str_no
None,yes
Other Christian,str_yes
Other,yes
Other,no
None,no
Catholic,str_no
Other Christian,no
None,yes
Other Christian,str_no
Catholic,no
Catholic,yes
None,yes
Other Christian,no
Catholic,yes
Other Christian,no
Other Christian,yes
None,yes
Other Christian,yes
Other Christian,no
None,yes
Catholic,no
Other Christian,str_yes
Other Christian,yes
Other Christian,yes
None,str_yes
None,str_no
Catholic,no
Other Christian,yes
None,no
Other Christian,str_yes
Catholic,no
Other Christian,yes
Catholic,str_no
Catholic,yes
Other Christian,no
Other Christian,str_yes
Other Christian,yes
Other Christian,yes
None,yes
Catholic,str_no
Catholic,yes
Catholic,yes
Other Christian,no
None,yes
Catholic,yes
Other Christian,yes
Catholic,yes
Catholic,yes
Catholic,str_yes
Catholic,yes
Other Christian,yes
Other Christian,str_yes
Other Christian,str_yes
Other Christian,no
Other Christian,str_no
Other Christian,yes
Catholic,str_yes
Catholic,yes
None,str_yes
Catholic,no
Other Christian,no
Catholic,no
Other Christian,yes
Other Christian,no
Other Christian,yes
Other Christian,yes
Other Christian,no
Catholic,yes
Other Christian,yes
None,no
Other Christian,yes
Catholic,yes
Other Christian,yes
None,str_yes
Other Christian,yes
Other Christian,yes
Other Christian,str_yes
Catholic,no
Catholic,yes
Catholic,yes
Other Christian,no
Catholic,str_no
Other Christian,yes
None,no
Other Christian,str_yes
None,yes
Other Christian,str_yes
Other Christian,yes
None,no
Other Christian,no
None,no
Other Christian,yes
Other Christian,yes
Other Christian,yes
None,str_yes
Other Christian,yes
Other Christian,no
Other Christian,str_no
None,str_yes
Other Christian,yes
Other Christian,no
Catholic,str_yes
None,no
Catholic,yes
Catholic,yes
Catholic,no
Other Christian,yes
Catholic,str_no
Other,str_no
Catholic,no
Catholic,no
None,yes
Catholic,no
None,no
Catholic,str_no
Catholic,yes
None,no
Other,str_no
Other Christian,no
Catholic,no
None,no
Catholic,yes
Other Christian,yes
Catholic,no
Catholic,no
None,no
Other Christian,yes
Catholic,str_no
Other Christian,str_no
Catholic,yes
Catholic,str_no
Catholic,no
None,yes
None,yes
None,no
Other,no
Other Christian,str_no
Other,no
None,no
None,str_yes
Other Christian,no
None,str_yes
None,yes
None,yes
Other Christian,yes
None,no
Other,yes
Other Christian,yes
Catholic,no
Other Christian,yes
Other Christian,yes
Catholic,yes
Other,str_no
Other Christian,yes
Other Christian,yes
Catholic,str_yes
None,yes
None,str_no
Other Christian,str_yes
Other Christian,yes
None,str_no
Other Christian,str_yes
Other Christian,str_no
Other,yes
Catholic,str_yes
None,str_no
Other Christian,yes
Other Christian,no
Other Christian,yes
Other Christian,yes
Other Christian,yes
Other,yes
Other,yes
Catholic,yes
Other Christian,yes
Other Christian,yes
Other Christian,str_yes
Other Christian,yes
Other Christian,str_yes
Other Christian,str_yes
Other Christian,yes
Other Christian,yes
Other,yes
None,no
Other Christian,yes
None,yes
Catholic,str_no
Catholic,no
None,str_yes
Other Christian,no
Catholic,no
None,yes
Other,str_no
None,str_yes
Other Christian,str_no
Other Christian,yes
Other Christian,yes
Other Christian,yes
None,str_yes
Other Christian,yes
Other Christian,str_yes
None,yes
Other Christian,yes
Other Christian,yes
Other Christian,yes
None,str_no
None,yes
None,str_no
Other Christian,str_yes
Other,yes
Catholic,no
Other Christian,yes
None,yes
Catholic,yes
Catholic,str_yes
Catholic,str_yes
None,no
Catholic,str_yes
Catholic,no
None,str_yes
None,yes
None,yes
Other,str_yes
Other Christian,yes
Other Christian,str_yes
Other Christian,str_yes
Other Christian,str_yes
Other Christian,yes
Other Christian,str_yes
Other Christian,str_yes
Catholic,str_no
Other Christian,str_yes
Other Christian,str_yes
Other Christian,yes
Other Christian,str_yes
Other Christian,yes
Other Christian,yes
Other Christian,str_no
Other Christian,str_yes
Other Christian,yes
Other Christian,str_yes
None,str_yes
Other Christian,str_yes
None,yes
Other Christian,str_yes
Other Christian,yes
Other Christian,str_yes
Other Christian,no
Other Christian,str_yes
Other Christian,str_yes
Catholic,str_yes
Other Christian,yes
Catholic,str_yes
Catholic,yes
Other Christian,yes
None,yes
None,yes
Other Christian,yes
Other,no
Other Christian,str_no
Other Christian,str_yes
Other Christian,yes
Other Christian,yes
Catholic,str_yes
Other,str_yes
None,yes
Catholic,no
None,str_no
Other Christian,yes
None,yes
Other Christian,yes
Catholic,str_yes
Other,yes
None,str_yes
Catholic,no
None,yes
Catholic,no
Catholic,yes
Catholic,yes
Catholic,str_yes
None,yes
Other Christian,yes
Other Christian,yes
Catholic,str_no
Catholic,no
Catholic,no
Other Christian,str_yes
Catholic,yes
Catholic,str_no
Other Christian,yes
Catholic,no
None,str_no
None,yes
Catholic,yes
Other Christian,str_yes
None,no
None,no
None,no
None,yes
Catholic,yes
Catholic,no
Other,no
Other Christian,no
Other Christian,no
Other Christian,yes
Other Christian,yes
None,yes
Catholic,yes
None,str_yes
Other Christian,yes
Catholic,yes
None,yes
Catholic,yes
Other Christian,no
Other Christian,str_yes
Other Christian,yes
Catholic,str_yes
None,yes
Catholic,no
None,str_no
Catholic,str_yes
Other Christian,no
Other Christian,yes
Other Christian,yes
Catholic,yes
None,no
Catholic,no
Other Christian,yes
Other Christian,no
Catholic,yes
Catholic,str_no
Catholic,no
Catholic,str_no
Catholic,yes
Other Christian,yes
Catholic,str_yes
Other Christian,str_yes
Other Christian,yes
Other Christian,yes
Other Christian,str_yes
None,no
Other Christian,no
None,str_no
None,yes
None,no
None,no
None,yes
Other Christian,str_yes
Other Christian,yes
Other Christian,yes
None,yes
Catholic,no
None,yes
Catholic,yes
Other Christian,str_no
Catholic,no
Other Christian,no
Other Christian,yes
None,no
Other Christian,yes
None,str_no
Other Christian,str_yes
Other Christian,yes
Other Christian,yes
Other Christian,str_no
Other Christian,no
Other Christian,yes
None,yes
Catholic,no
Catholic,yes
None,yes
Other Christian,str_yes
Catholic,yes
Other Christian,yes
Catholic,str_yes
Catholic,yes
Other,no
Other Christian,no
Other Christian,str_yes
Other Christian,no
Other Christian,yes
Other Christian,str_no
Other Christian,str_yes
Other,yes
Other Christian,str_yes
Other Christian,yes
None,no
Other Christian,str_yes
Other Christian,str_yes
Other Christian,yes
Other Christian,yes
Other Christian,yes
Catholic,yes
None,str_yes
None,no
None,str_yes
Catholic,str_yes
Other Christian,str_no
Other Christian,str_no
Other Christian,str_yes
Other Christian,str_yes
Other Christian,yes
Other Christian,yes
None,yes
Other Christian,yes
None,yes
Other Christian,yes
None,yes
Other Christian,str_no
None,yes
Other Christian,yes
Other Christian,str_yes
Other Christian,yes
Other Christian,yes
Catholic,yes
Other Christian,yes
Other Christian,str_no
Other Christian,yes
Catholic,yes
Other Christian,yes
Catholic,str_yes
Other Christian,yes
Other Christian,no
Other Christian,yes
Other Christian,str_no
Other Christian,str_yes
Catholic,yes
Other Christian,yes
Other Christian,yes
Other Christian,yes
Other Christian,yes
Other Christian,str_yes
None,no
Catholic,yes
Other Christian,str_yes
None,yes
None,yes
Other Christian,yes
Other Christian,str_yes
None,yes
Other Christian,yes
None,no
Other Christian,yes
Other Christian,yes
Other Christian,str_yes
Other Christian,yes
None,str_yes
Other Christian,str_yes
Other Christian,yes
Other Christian,no
Other Christian,yes
None,str_no
None,yes
Other Christian,yes
None,str_yes
Catholic,no
Catholic,yes
Catholic,str_yes
Other Christian,yes
Catholic,str_yes
Other Christian,yes
Other Christian,yes
Other Christian,str_yes
Catholic,yes
Other Christian,yes
Other Christian,no
Other Christian,str_yes
Other Christian,no
Other Christian,yes
Other Christian,str_yes
Other Christian,str_yes
None,yes
Other,str_yes
Other Christian,no
Other Christian,yes
None,str_yes
None,yes
Other Christian,yes
None,no
Catholic,yes
Catholic,str_yes
Catholic,str_yes
Other Christian,yes
Other Christian,yes
Other Christian,yes
Other Christian,yes
None,str_no
Other Christian,yes
None,no
None,no
Other Christian,yes
Catholic,str_yes
Catholic,no
Catholic,str_yes
Other Christian,yes
Other Christian,str_yes
Catholic,str_yes
None,str_yes
None,yes
Other Christian,no
Catholic,no
Catholic,yes
Catholic,str_yes
Other Christian,yes
Other Christian,yes
Other Christian,str_yes
Other Christian,str_yes
Catholic,yes
None,yes
Catholic,no
Catholic,str_yes
None,no
Other Christian,no
Catholic,str_no
Catholic,str_yes
Catholic,yes
Other Christian,str_yes
Other Christian,no
Other Christian,str_no
Other,no
Other Christian,no
Other Christian,no
None,no
Other Christian,no
Other Christian,str_yes
Other Christian,str_yes
Other Christian,yes
Other Christian,yes
None,str_yes
Other Christian,yes
Other Christian,no
Other Christian,str_yes
None,str_no
Other Christian,str_yes
Other,no
None,no
None,yes
Catholic,str_yes
None,no
None,str_yes
Other Christian,yes
Other Christian,str_yes
Catholic,no
Catholic,str_no
Catholic,yes
Other Christian,yes
None,no
Catholic,yes
None,no
Other Christian,no
None,no
None,yes
Catholic,no
Catholic,yes
Other Christian,yes
Other Christian,yes
Catholic,yes
None,str_no
None,yes
Catholic,str_yes
None,no
Other Christian,str_yes
Catholic,no
None,no
None,str_yes
None,yes
None,yes
Other Christian,yes
Catholic,yes
Other Christian,str_yes
Catholic,no
None,yes
None,str_yes
None,str_no
None,yes
Catholic,no
None,no
Other Christian,yes
Other Christian,yes
Catholic,yes
Other Christian,yes
Other Christian,no
Catholic,yes
Other Christian,str_yes
Other Christian,yes
Other,no
Other Christian,no
None,no
None,str_yes
None,str_yes
Other,yes
None,yes
Other Christian,yes
Other Christian,yes
Other Christian,yes
Other Christian,yes
Other Christian,str_yes
None,str_yes
Catholic,yes
None,yes
Catholic,str_yes
Other Christian,no
Other Christian,yes
Other Christian,yes
Other Christian,str_no
Catholic,yes
Other Christian,yes
Other Christian,yes
Catholic,str_yes
Other Christian,yes
Other Christian,yes
Other Christian,yes
Other Christian,str_yes
Other Christian,str_yes
None,str_no
None,str_yes
Other Christian,yes
Other Christian,no
Other Christian,yes
Other Christian,str_yes
Other Christian,yes
Other Christian,yes
Other Christian,no
Other Christian,yes
Other Christian,yes
Other Christian,yes
Catholic,yes
Other Christian,yes
Other Christian,yes
Other Christian,str_yes
Other Christian,str_yes
Catholic,no
Other,yes
Other,no
Other Christian,no
Other Christian,yes
Other Christian,yes
Other Christian,str_yes
Other Christian,no
Other Christian,yes
Other Christian,str_yes
Other Christian,str_yes
Other Christian,yes
Other Christian,yes
Other Christian,yes
Other Christian,yes
Other Christian,yes
None,yes
Catholic,yes
Other Christian,str_yes
Other Christian,yes
Other Christian,yes
Catholic,no
Catholic,yes
None,str_yes
Other Christian,str_yes
Other Christian,no
Other Christian,yes
None,no
None,str_yes
Other Christian,yes
Other Christian,str_yes
Other Christian,str_yes
Catholic,yes
Other Christian,str_yes
Other Christian,no
Other Christian,str_yes
Other Christian,str_no
Catholic,no
Other Christian,str_yes
Other Christian,yes
Other Christian,no
Other Christian,yes
Other,yes
Catholic,str_yes
Other Christian,yes
Other Christian,yes
Other Christian,no
Other Christian,yes
None,no
None,yes
Catholic,yes
Other Christian,no
Other Christian,yes
Other Christian,str_yes
Other Christian,str_no
None,no
Other Christian,yes
Catholic,yes
Other Christian,str_no
Other Christian,yes
Other Christian,yes
Other Christian,yes
Other Christian,str_yes
Other Christian,yes
Other Christian,yes
Other Christian,yes
Other Christian,yes
None,yes
Other Christian,str_yes
Other Christian,str_yes
Other Christian,yes
Other Christian,yes
None,no
Other Christian,yes
Other Christian,yes
Other Christian,str_no
Other Christian,str_yes
Other Christian,yes
Other Christian,str_yes
Catholic,str_yes
Other Christian,no
Other Christian,str_yes
Catholic,no
Other Christian,str_yes
None,str_yes
Other Christian,yes
Other Christian,str_yes
Other,yes
Other Christian,str_yes
Other Christian,str_yes
Other Christian,str_yes
Catholic,yes
Other,yes
Other Christian,yes
Other Christian,yes
Other Christian,yes
Other Christian,str_yes
Other Christian,yes
Other Christian,str_yes
None,str_no
Other Christian,yes
Catholic,yes
None,yes
Other Christian,yes
None,yes
Catholic,no
Catholic,no
None,no
Other Christian,str_yes
Other Christian,str_yes
Other Christian,yes
Other Christian,str_yes
Other Christian,no
Other Christian,yes
Catholic,str_yes
Other Christian,str_no
Other Christian,yes
Other Christian,str_no
Catholic,str_yes
None,no
Other Christian,str_yes
Other Christian,yes
Other,yes
Other Christian,str_no
Other Christian,yes
Other Christian,yes
Other Christian,yes
None,yes
Other Christian,str_yes
Catholic,no
Other Christian,yes
Other Christian,yes
Other Christian,yes
Catholic,yes
Catholic,no
Other Christian,yes
Catholic,no
Catholic,yes
Other,str_yes
Other Christian,no
None,yes
Other Christian,no
Catholic,str_yes
Other Christian,yes
Catholic,yes
None,str_yes
None,str_yes
Catholic,yes
None,yes
Catholic,no
None,yes
Catholic,str_no
Other Christian,str_yes
Other Christian,no
None,yes
Other Christian,yes
Other Christian,no
None,yes
None,str_yes
Catholic,yes
Other Christian,no
Catholic,yes
Other,str_no
None,str_yes
None,str_yes
None,str_yes
None,str_yes
Catholic,yes
Other Christian,str_yes
Other Christian,no
Other Christian,yes
Other Christian,no
Other Christian,str_yes
None,yes
Other Christian,str_no
Other Christian,str_yes
None,yes
Other Christian,no
Other Christian,yes
Other Christian,no
Other Christian,yes
None,yes
Other Christian,no
Catholic,yes
Other Christian,yes
Other Christian,str_yes
Other Christian,yes
Catholic,yes
Other Christian,yes
Catholic,yes
None,yes
Other Christian,no
Other Christian,yes
Other Christian,str_yes
Other Christian,str_yes
Other Christian,yes
Catholic,no
Catholic,yes
Other Christian,str_yes
Other Christian,str_yes
Catholic,yes
None,no
Other Christian,yes
Other Christian,yes
None,yes
Catholic,str_no
Catholic,yes
Other Christian,yes
Other Christian,str_yes
None,no
Catholic,str_yes
Other,no
Other Christian,no
Other Christian,yes
Other Christian,yes
None,no
Catholic,no
Other Christian,yes
Catholic,yes
Other Christian,yes
Catholic,str_no
Other Christian,str_yes
Catholic,str_yes
Catholic,str_no
Catholic,no
None,yes
Other Christian,no
Other Christian,yes
Other Christian,no
None,no
Other Christian,str_yes
Other Christian,str_yes
Other Christian,str_yes
Catholic,str_yes
Other Christian,yes
None,no
Other Christian,yes
Other Christian,yes
None,yes
Other Christian,yes
Catholic,str_no
Catholic,yes
Other Christian,no
Catholic,str_yes
Catholic,no
Other Christian,str_yes
Other Christian,str_yes
Other Christian,yes
Other Christian,str_yes
Catholic,str_no
Other Christian,str_yes
Other Christian,str_yes
Other Christian,str_yes
Other Christian,yes
None,yes
Other Christian,yes
Other Christian,str_yes
Catholic,yes
Other Christian,yes
Catholic,str_no
Catholic,no
Other Christian,no
Other Christian,str_yes
None,yes
Catholic,str_yes
Other Christian,str_yes
Other Christian,yes
Catholic,yes
Catholic,no
None,yes
Other Christian,str_yes
None,str_no
Catholic,yes
Catholic,yes
Other Christian,no
None,str_yes
Other Christian,no
Catholic,str_yes
None,str_yes
Other Christian,str_yes
Other Christian,yes
None,yes
Other Christian,yes
Catholic,yes
Other Christian,yes
None,str_yes
Other Christian,yes
Other Christian,no
Other Christian,yes
Other Christian,yes
Other Christian,yes
Other Christian,yes
Other Christian,yes
Catholic,yes
Catholic,no
Catholic,yes
Catholic,yes
Other Christian,no
Catholic,yes
None,no
Other Christian,yes
Other Christian,yes
None,no
Other Christian,str_yes
Catholic,yes
Catholic,no
Other Christian,yes
None,yes
Catholic,yes
None,no
Other Christian,yes
Catholic,yes
Other Christian,yes
None,yes
None,str_yes
Other Christian,no
None,str_yes
Catholic,no
Other Christian,yes
Other Christian,str_no
None,no
Catholic,yes
Other Christian,yes
None,yes
Other,no
None,yes
None,yes
None,no
None,no
Catholic,yes
None,str_yes
None,yes
None,yes
Catholic,yes
Other Christian,str_yes
Catholic,str_yes
Other Christian,yes
Other Christian,str_yes
Catholic,str_no
Other Christian,str_yes
Other Christian,yes
Other Christian,no
Other Christian,yes
Other Christian,no
None,str_yes
Other Christian,str_yes
None,no
Other Christian,yes
None,str_no
None,no
Other Christian,str_no
None,str_yes
None,str_no
Other Christian,str_yes
Other,str_no
Other Christian,str_yes
Catholic,no
Catholic,yes
None,yes
Other Christian,yes
Other Christian,str_yes
Catholic,yes
Other Christian,yes
Catholic,no
Other,yes
Other,yes
None,yes
Other Christian,yes
None,yes
Other Christian,yes
None,yes
Other Christian,str_yes
None,str_yes
Other Christian,yes
Other Christian,no
Other Christian,yes
Other,yes
Other Christian,str_yes
Other Christian,str_yes
Other Christian,yes
None,str_yes
Other Christian,no
Catholic,str_yes
Other Christian,str_no
Other Christian,yes
Other,yes
Other Christian,str_no
Other Christian,str_yes
Other Christian,yes
Other Christian,yes
Other Christian,str_yes
Other Christian,yes
Other Christian,yes
Other Christian,yes
Other Christian,str_no
Other Christian,str_yes
Other Christian,str_yes
Other Christian,str_yes
Other Christian,yes
Other Christian,str_yes
Other Christian,str_yes
Other Christian,yes
Other Christian,yes
Other Christian,yes
None,str_yes
Catholic,yes
Other Christian,yes
Other Christian,yes
None,no
Other Christian,str_yes
Other Christian,yes
None,str_yes
Other Christian,yes
Other Christian,str_yes
Other Christian,yes
Other Christian,yes
Other Christian,str_yes
None,yes
Other Christian,yes
Other Christian,yes
Other Christian,yes
Other Christian,str_yes
Other Christian,yes
Other Christian,str_yes
None,no
Other Christian,no
Other Christian,str_yes
None,str_yes
Other Christian,str_yes
Other,yes
Other Christian,no
Other Christian,str_yes
Catholic,yes
None,str_yes
Other Christian,str_no
Other Christian,yes
Other Christian,str_no
Catholic,yes
Catholic,no
Catholic,yes
Other Christian,no
Other Christian,no
Other,no
Other Christian,yes
Other Christian,yes
Other Christian,yes
Other Christian,no
Other Christian,yes
Other Christian,yes
Other Christian,yes
Other Christian,no
Other Christian,str_yes
Other Christian,str_yes
Other Christian,str_yes
Other Christian,no
Other Christian,yes
Catholic,no
None,yes
Other Christian,yes
Other Christian,yes
Other Christian,str_yes
Other Christian,no
Other Christian,str_yes
Catholic,str_yes
Catholic,no
Other Christian,yes
Other Christian,str_yes
Other Christian,no
Other Christian,yes
None,str_no
Other Christian,yes
Other Christian,no
Other Christian,str_no
Other Christian,yes
Other Christian,yes
Other Christian,str_yes
Other Christian,yes
Other Christian,str_yes
Other Christian,str_yes
None,yes
Other Christian,yes
Other Christian,yes
Other Christian,yes
Other Christian,str_yes
Other Christian,yes
Other Christian,str_yes
Other Christian,yes
Catholic,str_yes
Other Christian,yes
None,str_yes
Other Christian,no
Other Christian,yes
Other Christian,str_yes
Other Christian,no
Other Christian,yes
Other Christian,no
Other Christian,yes
Other Christian,str_yes
Other Christian,no
Other Christian,str_yes
None,str_yes
Other Christian,str_yes
Other Christian,yes
Other Christian,str_yes
None,no
Other Christian,str_yes
Other Christian,yes
Other Christian,no
Other Christian,str_yes
Other Christian,str_yes
Other Christian,yes
Other Christian,yes
Catholic,no
Catholic,yes
Other Christian,str_no
Other Christian,no
None,yes
None,yes
Other Christian,no
None,yes
Other Christian,yes
Other Christian,yes
Other Christian,str_no
None,yes
Other Christian,no
None,yes
None,no
None,no
Other Christian,yes
Other Christian,yes
Other Christian,str_no
Other Christian,no
Catholic,yes
Other Christian,yes
None,str_no
None,no
Other,yes
Catholic,no
None,str_yes
Catholic,str_yes
Catholic,yes
